Subject,Block_number,Trial_number,Abs_ref_stim,Resp_Correct,RT,out,angle,same
103,3,101,9,t,1504,nil,150,nil
103,3,102,5,t,3102,nil,50,nil
103,3,103,2,t,1168,nil,50,nil
103,3,104,4,t,6302,t,150,t
103,3,105,15,t,2274,nil,50,nil
103,3,106,1,t,2896,nil,50,nil
103,3,107,2,t,2035,nil,100,t
103,3,108,2,t,564,nil,0,t
103,3,109,7,t,1228,nil,150,nil
103,3,110,11,t,1303,nil,50,t
103,3,111,9,t,1447,nil,100,t
103,3,112,12,t,539,nil,50,t
103,3,113,10,t,1330,nil,150,nil
103,3,114,12,t,921,nil,100,nil
103,3,115,12,t,630,nil,0,nil
103,3,116,13,t,822,nil,0,t
103,3,117,10,t,531,nil,0,t
103,3,118,7,t,845,nil,100,nil
103,3,119,7,nil,2353,t,150,t
103,3,120,16,t,740,nil,50,nil
103,3,121,6,t,773,nil,0,nil
103,3,122,9,t,701,nil,0,nil
103,3,123,14,t,1776,nil,50,t
103,3,124,16,t,2396,nil,50,t
103,3,125,14,t,770,nil,0,nil
103,3,126,4,t,1453,nil,50,t
103,3,127,5,t,2235,nil,150,nil
103,3,128,13,t,841,t,50,nil
103,4,1,1,t,2654,nil,100,t
103,4,2,15,t,1043,nil,150,nil
103,4,3,11,t,1036,nil,50,nil
103,4,4,4,t,1218,nil,150,nil
103,4,5,5,t,660,nil,0,t
103,4,6,16,t,1350,nil,100,t
103,4,7,3,t,1631,nil,50,nil
103,4,8,6,t,1033,nil,50,nil
103,4,9,11,t,977,nil,100,t
103,4,10,3,t,1053,nil,100,t
103,4,11,16,t,1349,nil,0,t
103,4,12,12,t,551,nil,50,t
103,4,13,2,t,805,nil,50,nil
103,4,14,5,t,1116,nil,150,nil
103,4,15,6,t,1650,nil,0,t
103,4,16,2,t,1192,nil,50,t
103,4,17,16,t,902,nil,150,nil
103,4,18,9,t,809,nil,100,nil
103,4,19,2,t,757,nil,0,t
103,4,20,9,t,715,nil,50,nil
103,4,21,4,t,1230,nil,100,t
103,4,22,4,t,703,nil,50,t
103,4,23,8,t,2164,nil,50,t
103,4,24,8,t,2694,nil,150,t
103,4,25,10,t,2411,nil,50,nil
103,4,26,16,t,643,nil,0,nil
103,4,27,16,t,5812,t,150,t
103,4,28,13,t,1246,nil,150,nil
103,4,29,5,t,6623,t,150,t
103,4,30,16,t,1101,nil,100,nil
103,4,31,1,t,4389,nil,100,nil
103,4,32,14,t,1028,nil,100,t
103,4,33,2,t,2142,nil,150,t
103,4,34,14,t,1198,nil,150,t
103,4,35,9,t,448,nil,0,t
103,4,36,14,t,583,nil,0,nil
103,4,37,3,t,2869,nil,100,nil
103,4,38,12,nil,1225,t,150,nil
103,4,39,9,t,942,nil,0,nil
103,4,40,15,t,1217,nil,100,nil
103,4,41,11,t,3546,nil,150,nil
103,4,42,12,t,826,nil,0,nil
103,4,43,13,t,1128,nil,50,nil
103,4,44,11,t,1184,nil,50,t
103,4,45,15,t,911,nil,0,nil
103,4,46,1,t,983,nil,0,t
103,4,47,10,t,1471,nil,100,nil
103,4,48,5,t,825,nil,0,nil
103,4,49,10,t,2132,nil,100,t
103,4,50,8,t,1044,nil,150,nil
103,4,51,8,t,1991,nil,100,t
103,4,52,6,t,1211,nil,100,t
103,4,53,6,t,920,nil,50,t
103,4,54,7,t,1475,nil,100,t
103,4,55,11,t,710,nil,0,t
103,4,56,14,t,570,nil,0,t
103,4,57,10,t,1306,nil,50,t
103,4,58,10,t,1302,nil,150,nil
103,4,59,9,nil,887,t,150,t
103,4,60,15,t,3798,nil,150,t
103,4,61,1,t,2400,nil,150,nil
103,4,62,6,t,2462,nil,100,nil
103,4,63,9,t,2285,nil,100,t
103,4,64,4,t,2157,nil,150,t
103,4,65,3,t,1484,nil,150,nil
103,4,66,1,t,1688,nil,50,t
103,4,67,5,t,993,nil,100,nil
103,4,68,13,nil,746,t,0,t
103,4,69,10,t,1948,nil,150,t
103,4,70,7,t,795,nil,0,t
103,4,71,5,t,1362,nil,50,t
103,4,72,4,t,2798,nil,50,nil
103,4,73,3,t,1169,nil,0,nil
103,4,74,12,t,633,nil,0,t
103,4,75,15,t,1995,nil,0,t
103,4,76,11,t,850,nil,100,nil
103,4,77,1,t,939,nil,50,nil
